SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,TotalCount,MeanDensity_sqm,StandardDeviation,StandardError,AreaSurveyed_sqm,MeanDepth,IslandDate,Island_Mean_Density,IslandSD,IslandSE,IslandAreaSurveyed,IslandTotalCount,SurveyType,IslandQuads,QuadratsSampled
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2003,2003-09-08,86,0.43,0.4238,0.067,200,43.27,2003-09-08,0.2717,0.3581,0.0327,600,163,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2003,2003-09-08,39,0.195,0.2773,0.0438,200,43.27,2003-09-08,0.3967,0.6534,0.0596,600,238,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2003,2003-09-08,3,0.015,0.0533,0.0084,200,43.27,2003-09-08,0.1817,0.4594,0.0419,600,109,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2004,2004-07-26,58,0.29,0.3388,0.0536,200,43.27,2004-08-16,0.31,0.3665,0.0335,600,186,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2004,2004-07-26,0,0,0,0,200,43.27,2004-08-16,0.285,0.5743,0.0524,600,171,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2004,2004-07-26,6,0.03,0.0723,0.0114,200,43.27,2004-08-16,0.2367,0.43,0.0392,600,142,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2005,2005-08-08,24,0.12,0.1682,0.0266,200,43.27,2005-07-20,0.2433,0.3732,0.0341,600,146,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2005,2005-08-08,28,0.14,0.2489,0.0394,200,43.27,2005-07-20,0.335,0.6347,0.0579,600,201,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2005,2005-08-08,2,0.01,0.0441,0.007,200,43.27,2005-07-20,0.2067,0.4572,0.0417,600,124,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2006,2006-09-11,75,0.375,0.2488,0.0393,200,43.27,2006-08-14,0.3233,0.4309,0.0393,600,194,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2006,2006-09-11,139,0.695,0.4641,0.0734,200,43.27,2006-08-14,0.45,0.4733,0.0432,600,270,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2006,2006-09-11,21,0.105,0.2717,0.043,200,43.27,2006-08-14,0.2033,0.3802,0.0347,600,122,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2007,2007-07-09,109,0.545,0.4101,0.0648,200,43.27,2007-07-09,0.3067,0.3819,0.0349,600,184,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2007,2007-07-09,4,0.02,0.0758,0.012,200,43.27,2007-07-09,0.225,0.6365,0.0581,600,135,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2007,2007-07-09,20,0.1,0.1812,0.0286,200,43.27,2007-07-09,0.1233,0.2489,0.0227,600,74,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2008,2008-09-08,66,0.33,0.242,0.0383,200,43.27,2008-09-22,0.16,0.2254,0.0206,600,96,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2008,2008-09-08,47,0.235,0.3,0.0474,200,43.27,2008-09-22,0.0933,0.2184,0.0199,600,56,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2008,2008-09-08,6,0.03,0.1159,0.0183,200,43.27,2008-09-22,0.1717,0.3082,0.0281,600,103,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2009,2009-08-17,66,0.33,0.2884,0.0456,200,43.27,2009-08-05,0.165,0.2588,0.0236,600,99,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2009,2009-08-17,18,0.09,0.1429,0.0226,200,43.27,2009-08-05,0.08,0.2519,0.023,600,48,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2009,2009-08-17,10,0.05,0.1086,0.0172,200,43.27,2009-08-05,0.135,0.2503,0.0228,600,81,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2010,2010-07-26,48,0.24,0.2182,0.0345,200,43.27,2010-08-11,0.155,0.234,0.0214,600,93,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2010,2010-07-26,97,0.485,0.4638,0.0733,200,43.27,2010-08-11,0.1717,0.352,0.0321,600,103,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2010,2010-07-26,0,0,0,0,200,43.27,2010-08-11,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2010,2010-07-26,0,0,0,0,200,43.27,2010-08-11,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2010,2010-07-26,6,0.03,0.0723,0.0114,200,43.27,2010-08-11,0.2017,0.3405,0.0311,600,121,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2011,2011-09-15,47,0.235,0.2788,0.0441,200,43.27,2011-09-21,0.16,0.2613,0.0239,600,96,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2011,2011-09-15,5,0.025,0.067,0.0106,200,43.27,2011-09-21,0.055,0.1346,0.0123,600,33,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2011,2011-09-15,0,0,0,0,200,43.27,2011-09-21,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2011,2011-09-15,0,0,0,0,200,43.27,2011-09-21,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2011,2011-09-15,11,0.055,0.1753,0.0277,200,43.27,2011-09-21,0.19,0.3438,0.0314,600,114,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2012,2012-07-25,21,0.105,0.1568,0.0248,200,43.27,2012-08-06,0.1283,0.2151,0.0196,600,77,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2012,2012-07-25,25,0.125,0.201,0.0318,200,43.27,2012-08-06,0.1133,0.2054,0.0187,600,68,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2012,2012-07-25,0,0,0,0,200,43.27,2012-08-06,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2012,2012-07-25,0,0,0,0,200,43.27,2012-08-06,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2012,2012-07-25,25,0.125,0.1613,0.0255,200,43.27,2012-08-06,0.2433,0.3471,0.0317,600,146,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11011,Pisaster ochraceus,Ochre Sea Star,2012,2012-07-25,0,0,0,0,200,43.27,2012-08-06,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2013,2013-10-19,104,0.52,0.3589,0.0567,200,43.27,2013-09-27,0.2433,0.3199,0.0292,600,146,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2013,2013-10-19,16,0.08,0.162,0.0256,200,43.27,2013-09-27,0.0417,0.1157,0.0106,600,25,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2013,2013-10-19,0,0,0,0,200,43.27,2013-09-27,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2013,2013-10-19,0,0,0,0,200,43.27,2013-09-27,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2013,2013-10-19,9,0.045,0.1154,0.0182,200,43.27,2013-09-27,0.2167,0.3426,0.0313,600,130,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11011,Pisaster ochraceus,Ochre Sea Star,2013,2013-10-19,0,0,0,0,200,43.27,2013-09-27,0.0017,0.0183,0.0017,600,1,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2014,2014-10-01,43,0.215,0.2143,0.0339,200,43.27,2014-08-29,0.145,0.2024,0.0185,600,87,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2014,2014-10-01,10,0.05,0.1086,0.0172,200,43.27,2014-08-29,0.0467,0.1236,0.0113,600,28,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2014,2014-10-01,0,0,0,0,200,43.27,2014-08-29,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2014,2014-10-01,0,0,0,0,200,43.27,2014-08-29,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2014,2014-10-01,0,0,0,0,200,43.27,2014-08-29,0.01,0.0438,0.004,600,6,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11011,Pisaster ochraceus,Ochre Sea Star,2014,2014-10-01,0,0,0,0,200,43.27,2014-08-29,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2015,2015-09-15,40,0.2,0.2025,0.032,200,43.27,2015-08-06,0.1433,0.2278,0.0208,600,86,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2015,2015-09-15,7,0.035,0.1001,0.0158,200,43.27,2015-08-06,0.0333,0.0947,0.0086,600,20,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2015,2015-09-15,0,0,0,0,200,43.27,2015-08-06,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2015,2015-09-15,0,0,0,0,200,43.27,2015-08-06,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2015,2015-09-15,0,0,0,0,200,43.27,2015-08-06,0.0133,0.0961,0.0088,600,8,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11011,Pisaster ochraceus,Ochre Sea Star,2015,2015-09-15,0,0,0,0,200,43.27,2015-08-06,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2016,2016-08-10,21,0.105,0.1358,0.0215,200,43.27,2016-08-10,0.0883,0.1485,0.0136,600,53,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2016,2016-08-10,24,0.12,0.1856,0.0294,200,43.27,2016-08-10,0.0617,0.1462,0.0133,600,37,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2016,2016-08-10,0,0,0,0,200,43.27,2016-08-10,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2016,2016-08-10,0,0,0,0,200,43.27,2016-08-10,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2016,2016-08-10,1,0.005,0.0316,0.005,200,43.27,2016-08-10,0.0017,0.0183,0.0017,600,1,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11011,Pisaster ochraceus,Ochre Sea Star,2016,2016-08-10,0,0,0,0,200,43.27,2016-08-10,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2017,2017-07-27,95,0.475,0.4168,0.0659,200,43.27,2017-07-21,0.19,0.3278,0.0299,600,114,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2017,2017-07-27,87,0.435,0.4661,0.0737,200,43.27,2017-07-21,0.1583,0.335,0.0306,600,95,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2017,2017-07-27,0,0,0,0,200,43.27,2017-07-21,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2017,2017-07-27,0,0,0,0,200,43.27,2017-07-21,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2017,2017-07-27,0,0,0,0,200,43.27,2017-07-21,0.0033,0.0257,0.0023,600,2,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11011,Pisaster ochraceus,Ochre Sea Star,2017,2017-07-27,0,0,0,0,200,43.27,2017-07-21,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2018,2018-09-26,13,0.065,0.1312,0.0207,200,43.27,2018-09-14,0.0233,0.0827,0.0076,600,14,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2018,2018-09-26,7,0.035,0.0893,0.0141,200,43.27,2018-09-14,0.0117,0.0537,0.0049,600,7,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2018,2018-09-26,0,0,0,0,200,43.27,2018-09-14,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2018,2018-09-26,0,0,0,0,200,43.27,2018-09-14,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2018,2018-09-26,1,0.005,0.0316,0.005,200,43.27,2018-09-14,0.0083,0.0478,0.0044,600,5,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11011,Pisaster ochraceus,Ochre Sea Star,2018,2018-09-26,0,0,0,0,200,43.27,2018-09-14,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2019,2019-09-24,0,0,0,0,200,43.27,2019-09-29,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2019,2019-09-24,0,0,0,0,200,43.27,2019-09-29,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016,Sargassum horneri,Devil Weed (Adult),2019,2019-09-24,0,0,0,0,200,43.27,2019-09-29,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,2016.5,Sargassum horneri,Devil Weed (Juvenile),2019,2019-09-24,0,0,0,0,200,43.27,2019-09-29,0,0,0,600,0,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,2019,2019-09-24,0,0,0,0,200,43.27,2019-09-29,0.0033,0.0365,0.0033,600,2,Five_Meter,NA,NA
1,SM,San Miguel Island,WL,Wyckoff Ledge,11011,Pisaster ochraceus,Ochre Sea Star,2019,2019-09-24,0,0,0,0,200,43.27,2019-09-29,0,0,0,600,0,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),1996,1996-08-05,0,0,0,0,200,20.5,1996-07-29,0.11,0.2035,0.0228,400,44,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),1996,1996-08-05,0,0,0,0,200,20.5,1996-07-29,0.2025,0.3891,0.0435,400,81,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,11002,Pisaster giganteus,Giant-spined Sea Star,1996,1996-08-05,84,0.42,0.5849,0.0925,200,20.5,1996-07-29,0.2175,0.4603,0.0515,400,87,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),1997,1997-07-07,0,0,0,0,200,20.5,1997-07-07,0.1325,0.2443,0.0273,400,53,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),1997,1997-07-07,0,0,0,0,200,20.5,1997-07-07,0.4225,0.7347,0.0821,400,169,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,11002,Pisaster giganteus,Giant-spined Sea Star,1997,1997-07-07,74,0.37,0.3524,0.0557,200,20.5,1997-07-07,0.205,0.3101,0.0347,400,82,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),1998,1998-09-14,0,0,0,0,200,20.5,1998-08-10,0.055,0.1492,0.0167,400,22,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),1998,1998-09-14,0,0,0,0,200,20.5,1998-08-10,0.0525,0.1793,0.02,400,21,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,11002,Pisaster giganteus,Giant-spined Sea Star,1998,1998-09-14,30,0.15,0.1553,0.0245,200,20.5,1998-08-10,0.09,0.1383,0.0155,400,36,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),1999,1999-06-28,0,0,0,0,200,20.5,1999-06-28,0.1,0.1962,0.0219,400,40,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),1999,1999-06-28,0,0,0,0,200,20.5,1999-06-28,0.12,0.2636,0.0295,400,48,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,11002,Pisaster giganteus,Giant-spined Sea Star,1999,1999-06-28,62,0.31,0.3169,0.0501,200,20.5,1999-06-28,0.1775,0.2774,0.031,400,71,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2000,2000-06-26,0,0,0,0,200,20.5,2000-06-26,0.0025,0.0224,0.0025,400,1,Five_Meter,NA,NA
2,SM,San Miguel Island,HR,Hare Rock,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2000,2000-06-26,0,0,0,0,200,20.5,2000-06-26,0.045,0.1054,0.0118,400,18,Five_Meter,NA,NA
