SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,TotalCount,MeanDensity_sqm,StandardDeviation,StandardError,QuadratsSampled,AreaSurveyed_sqm,MeanDepth,IslandDate,Island_Mean_Density,IslandSD,IslandSE,IslandQuads,IslandAreaSurveyed,IslandTotalCount,SurveyType
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1983,1983-07-26,24,0.06,0.0489,0.0155,10,600,43.27,1983-07-27,0.06,0.0476,0.0106,20,1200,48,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9011,Aplysia californica,California Brown Sea Hare,1983,1983-07-26,2,0.005,0.0105,0.0033,10,600,43.27,1983-07-27,0.015,0.0318,0.0071,20,1200,12,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0.025,0.0372,0.0083,20,1200,20,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11004,Lytechinus anamesus,White Urchin,1983,1983-07-26,0,0,0,0,10,600,43.27,1983-07-27,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1984,1984-07-11,31,0.0775,0.074,0.0234,10,600,43.27,1984-07-10,0.0662,0.0581,0.013,20,1200,53,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1984,1984-07-11,67,0.1675,0.1219,0.0386,10,600,43.27,1984-07-10,0.1125,0.1065,0.0238,20,1200,90,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6007,Muricea fruticosa,Brown Gorgonian,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,8001,Panulirus interruptus,California Spiny Lobster,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1984,1984-07-11,2,0.005,0.0158,0.005,10,600,43.27,1984-07-10,0.0088,0.0147,0.0033,20,1200,7,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9003,Haliotis corrugata,Pink Abalone,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9004,Haliotis fulgens,Green Abalone,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0,0,0,20,1200,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1984,1984-07-11,25,0.0625,0.1009,0.0319,10,600,43.27,1984-07-10,0.0338,0.0762,0.017,20,1200,27,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0.0038,0.0122,0.0027,20,1200,3,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1984,1984-07-11,3,0.0075,0.0121,0.0038,10,600,43.27,1984-07-10,0.0312,0.0352,0.0079,20,1200,25,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9011,Aplysia californica,California Brown Sea Hare,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0.0225,0.028,0.0063,20,1200,18,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0.0038,0.0092,0.002,20,1200,3,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11004,Lytechinus anamesus,White Urchin,1984,1984-07-11,0,0,0,0,10,600,43.27,1984-07-10,0.0088,0.0247,0.0055,20,1200,7,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1985,1985-06-26,39,0.0542,0.0697,0.0201,12,720,43.27,1985-06-25,0.0479,0.0523,0.0107,24,1440,69,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1985,1985-06-26,0,0,0,0,12,720,43.27,1985-06-25,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1985,1985-06-26,188,0.2611,0.1538,0.0444,12,720,43.27,1985-06-25,0.1451,0.1607,0.0328,24,1440,209,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1985,1985-06-26,2,0.0028,0.0065,0.0019,12,720,43.27,1985-06-25,0.0014,0.0047,0.001,24,1440,2,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6007,Muricea fruticosa,Brown Gorgonian,1985,1985-06-26,0,0,0,0,12,720,43.27,1985-06-25,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,8001,Panulirus interruptus,California Spiny Lobster,1985,1985-06-26,0,0,0,0,12,720,43.27,1985-06-25,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1985,1985-06-26,11,0.0153,0.023,0.0066,12,720,43.27,1985-06-25,0.0083,0.0177,0.0036,24,1440,12,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9003,Haliotis corrugata,Pink Abalone,1985,1985-06-26,0,0,0,0,12,720,43.27,1985-06-25,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9004,Haliotis fulgens,Green Abalone,1985,1985-06-26,0,0,0,0,12,720,43.27,1985-06-25,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1985,1985-06-26,84,0.1167,0.0927,0.0267,12,720,43.27,1985-06-25,0.0583,0.0875,0.0179,24,1440,84,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1985,1985-06-26,1,0.0014,0.0048,0.0014,12,720,43.27,1985-06-25,0.0076,0.011,0.0022,24,1440,11,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1985,1985-06-26,13,0.0181,0.015,0.0043,12,720,43.27,1985-06-25,0.0132,0.0139,0.0028,24,1440,19,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9011,Aplysia californica,California Brown Sea Hare,1985,1985-06-26,9,0.0125,0.0433,0.0125,12,720,43.27,1985-06-25,0.0076,0.0307,0.0063,24,1440,11,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1985,1985-06-26,2,0.0028,0.0065,0.0019,12,720,43.27,1985-06-25,0.0056,0.0094,0.0019,24,1440,8,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11004,Lytechinus anamesus,White Urchin,1985,1985-06-26,0,0,0,0,12,720,43.27,1985-06-25,0.0097,0.0282,0.0058,24,1440,14,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1986,1986-07-08,88,0.1222,0.0604,0.0174,12,720,43.27,1986-07-07,0.0938,0.0635,0.013,24,1440,135,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1986,1986-07-08,0,0,0,0,12,720,43.27,1986-07-07,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1986,1986-07-08,136,0.1889,0.0848,0.0245,12,720,43.27,1986-07-07,0.1118,0.1014,0.0207,24,1440,161,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1986,1986-07-08,1,0.0014,0.0048,0.0014,12,720,43.27,1986-07-07,7e-4,0.0034,7e-4,24,1440,1,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6007,Muricea fruticosa,Brown Gorgonian,1986,1986-07-08,0,0,0,0,12,720,43.27,1986-07-07,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,8001,Panulirus interruptus,California Spiny Lobster,1986,1986-07-08,0,0,0,0,12,720,43.27,1986-07-07,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1986,1986-07-08,29,0.0403,0.0617,0.0178,12,720,43.27,1986-07-07,0.0361,0.0519,0.0106,24,1440,52,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9003,Haliotis corrugata,Pink Abalone,1986,1986-07-08,0,0,0,0,12,720,43.27,1986-07-07,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9004,Haliotis fulgens,Green Abalone,1986,1986-07-08,0,0,0,0,12,720,43.27,1986-07-07,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1986,1986-07-08,58,0.0806,0.0598,0.0173,12,720,43.27,1986-07-07,0.041,0.0579,0.0118,24,1440,59,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1986,1986-07-08,1,0.0014,0.0048,0.0014,12,720,43.27,1986-07-07,0.0146,0.0279,0.0057,24,1440,21,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1986,1986-07-08,13,0.0181,0.0194,0.0056,12,720,43.27,1986-07-07,0.0285,0.0267,0.0054,24,1440,41,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9011,Aplysia californica,California Brown Sea Hare,1986,1986-07-08,0,0,0,0,12,720,43.27,1986-07-07,0.0076,0.0155,0.0032,24,1440,11,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1986,1986-07-08,3,0.0042,0.0075,0.0022,12,720,43.27,1986-07-07,0.0167,0.0287,0.0058,24,1440,24,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11004,Lytechinus anamesus,White Urchin,1986,1986-07-08,0,0,0,0,12,720,43.27,1986-07-07,0.0083,0.0374,0.0076,24,1440,12,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1987,1987-08-11,73,0.1014,0.0845,0.0244,12,720,43.27,1987-08-10,0.0729,0.0702,0.0143,24,1440,105,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1987,1987-08-11,0,0,0,0,12,720,43.27,1987-08-10,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1987,1987-08-11,140,0.1944,0.1296,0.0374,12,720,43.27,1987-08-10,0.1167,0.1223,0.025,24,1440,168,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1987,1987-08-11,3,0.0042,0.0144,0.0042,12,720,43.27,1987-08-10,0.0021,0.0102,0.0021,24,1440,3,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6007,Muricea fruticosa,Brown Gorgonian,1987,1987-08-11,0,0,0,0,12,720,43.27,1987-08-10,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,8001,Panulirus interruptus,California Spiny Lobster,1987,1987-08-11,0,0,0,0,12,720,43.27,1987-08-10,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1987,1987-08-11,4,0.0056,0.0082,0.0024,12,720,43.27,1987-08-10,0.0062,0.0108,0.0022,24,1440,9,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9003,Haliotis corrugata,Pink Abalone,1987,1987-08-11,0,0,0,0,12,720,43.27,1987-08-10,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9004,Haliotis fulgens,Green Abalone,1987,1987-08-11,0,0,0,0,12,720,43.27,1987-08-10,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1987,1987-08-11,149,0.2069,0.1769,0.0511,12,720,43.27,1987-08-10,0.1035,0.1617,0.033,24,1440,149,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1987,1987-08-11,1,0.0014,0.0048,0.0014,12,720,43.27,1987-08-10,0.0188,0.0257,0.0052,24,1440,27,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1987,1987-08-11,6,0.0083,0.0151,0.0044,12,720,43.27,1987-08-10,0.0146,0.0186,0.0038,24,1440,21,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9011,Aplysia californica,California Brown Sea Hare,1987,1987-08-11,1,0.0014,0.0048,0.0014,12,720,43.27,1987-08-10,0.0229,0.0386,0.0079,24,1440,33,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1987,1987-08-11,5,0.0069,0.0086,0.0025,12,720,43.27,1987-08-10,0.0306,0.036,0.0073,24,1440,44,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11004,Lytechinus anamesus,White Urchin,1987,1987-08-11,0,0,0,0,12,720,43.27,1987-08-10,7e-4,0.0034,7e-4,24,1440,1,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1988,1988-07-27,95,0.1319,0.097,0.028,12,720,43.27,1988-07-26,0.0792,0.088,0.018,24,1440,114,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1988,1988-07-27,156,0.2167,0.0782,0.0226,12,720,43.27,1988-07-26,0.1201,0.1134,0.0231,24,1440,173,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6007,Muricea fruticosa,Brown Gorgonian,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,8001,Panulirus interruptus,California Spiny Lobster,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1988,1988-07-27,31,0.0431,0.0351,0.0101,12,720,43.27,1988-07-26,0.0236,0.0318,0.0065,24,1440,34,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9003,Haliotis corrugata,Pink Abalone,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9004,Haliotis fulgens,Green Abalone,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1988,1988-07-27,130,0.1806,0.1432,0.0413,12,720,43.27,1988-07-26,0.091,0.1349,0.0275,24,1440,131,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0.0056,0.0106,0.0022,24,1440,8,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1988,1988-07-27,6,0.0083,0.0133,0.0038,12,720,43.27,1988-07-26,0.0132,0.0147,0.003,24,1440,19,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9011,Aplysia californica,California Brown Sea Hare,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0.0188,0.0375,0.0077,24,1440,27,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1988,1988-07-27,8,0.0111,0.0148,0.0043,12,720,43.27,1988-07-26,0.0188,0.021,0.0043,24,1440,27,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11004,Lytechinus anamesus,White Urchin,1988,1988-07-27,0,0,0,0,12,720,43.27,1988-07-26,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1989,1989-08-16,45,0.0625,0.0523,0.0151,12,720,43.27,1989-08-16,0.0347,0.0471,0.0096,24,1440,50,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1989,1989-08-16,186,0.2583,0.1974,0.057,12,720,43.27,1989-08-16,0.1458,0.1796,0.0367,24,1440,210,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1989,1989-08-16,4,0.0056,0.0082,0.0024,12,720,43.27,1989-08-16,0.0028,0.0063,0.0013,24,1440,4,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6007,Muricea fruticosa,Brown Gorgonian,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,8001,Panulirus interruptus,California Spiny Lobster,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1989,1989-08-16,14,0.0194,0.0283,0.0082,12,720,43.27,1989-08-16,0.0104,0.0219,0.0045,24,1440,15,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9003,Haliotis corrugata,Pink Abalone,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9004,Haliotis fulgens,Green Abalone,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1989,1989-08-16,86,0.1194,0.102,0.0294,12,720,43.27,1989-08-16,0.0597,0.0932,0.019,24,1440,86,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,0.0014,0.0068,0.0014,24,1440,2,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,7e-4,0.0034,7e-4,24,1440,1,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9011,Aplysia californica,California Brown Sea Hare,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,0.0403,0.1252,0.0256,24,1440,58,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1989,1989-08-16,18,0.025,0.0207,0.006,12,720,43.27,1989-08-16,0.0438,0.0336,0.0069,24,1440,63,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11004,Lytechinus anamesus,White Urchin,1989,1989-08-16,0,0,0,0,12,720,43.27,1989-08-16,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1990,1990-07-24,33,0.0458,0.0513,0.0148,12,720,43.27,1990-07-23,0.0299,0.0408,0.0083,24,1440,43,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1990,1990-07-24,145,0.2014,0.1951,0.0563,12,720,43.27,1990-07-23,0.1062,0.1666,0.034,24,1440,153,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1990,1990-07-24,1,0.0014,0.0048,0.0014,12,720,43.27,1990-07-23,7e-4,0.0034,7e-4,24,1440,1,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6007,Muricea fruticosa,Brown Gorgonian,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6008,Muricea californica,California Golden Gorgonian,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,8001,Panulirus interruptus,California Spiny Lobster,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1990,1990-07-24,2,0.0028,0.0065,0.0019,12,720,43.27,1990-07-23,0.0014,0.0047,0.001,24,1440,2,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9003,Haliotis corrugata,Pink Abalone,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9004,Haliotis fulgens,Green Abalone,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1990,1990-07-24,67,0.0931,0.0524,0.0151,12,720,43.27,1990-07-23,0.0465,0.0598,0.0122,24,1440,67,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,7e-4,0.0034,7e-4,24,1440,1,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,9011,Aplysia californica,California Brown Sea Hare,1990,1990-07-24,0,0,0,0,12,720,43.27,1990-07-23,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1990,1990-07-24,9,0.0125,0.0161,0.0046,12,720,43.27,1990-07-23,0.0201,0.0177,0.0036,24,1440,29,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,11004,Lytechinus anamesus,White Urchin,1990,1990-07-24,3,0.0042,0.0104,0.003,12,720,43.27,1990-07-23,0.0035,0.0098,0.002,24,1440,5,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1991,1991-07-23,66,0.0917,0.0712,0.0206,12,720,43.27,1991-07-22,0.0597,0.0643,0.0131,24,1440,86,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6001,Stylaster californicus,California Hydrocoral,1991,1991-07-23,0,0,0,0,12,720,43.27,1991-07-22,0,0,0,24,1440,0,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6002,Urticina lofotensis,White Spotted Rose Anemone,1991,1991-07-23,172,0.2389,0.1882,0.0543,12,720,43.27,1991-07-22,0.1382,0.1688,0.0345,24,1440,199,Bands
1,SM,San Miguel Island,WL,Wyckoff Ledge,6006,Lophogorgia chilensis,Red Gorgonian,1991,1991-07-23,3,0.0042,0.0104,0.003,12,720,43.27,1991-07-22,0.0021,0.0075,0.0015,24,1440,3,Bands
