IslandCode,IslandName,Species,ScientificName,CommonName,SurveyYear,MeanSize,TotalCount,StandardError,StandardDeviation
SM,San Miguel Island,11007,Parastichopus parvimensis,Warty Sea Cucumber,1988,184.3077,65,7,53.2966
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1989,61.7931,58,2,16.9444
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1989,154.8929,28,9,47.2326
SM,San Miguel Island,9005,Cypraea spadicea,Chestnut Cowrie,1989,47.3889,36,1,4.9006
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1989,79.9143,35,3,16.0777
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1989,53.3478,23,2,9.183
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,1989,83.5,20,7,32.1043
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1989,63.1845,103,2,15.4601
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1989,66.9091,88,4,37.6727
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1989,83.0938,64,8,61.4478
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1989,56.0229,218,2,22.3038
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1989,33.0601,183,1,11.7315
SM,San Miguel Island,11007,Parastichopus parvimensis,Warty Sea Cucumber,1989,143.5443,79,4,31.134
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1990,64.8764,89,2,22.8428
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1990,83.8571,42,11,71.5332
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1990,95.5263,38,2,13.5042
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1990,47.96,25,2,9.8805
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1990,61.7048,105,2,16.705
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1990,70.44,100,2,24.7898
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1990,144.0462,65,9,73.0386
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1990,58.7067,208,1,20.25
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1990,35.6667,126,1,8.9452
SM,San Miguel Island,11007,Parastichopus parvimensis,Warty Sea Cucumber,1990,147.6667,60,5,35.7186
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1991,64.6912,68,2,20.4642
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1991,124,77,8,66.7558
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1991,90,51,2,16.5094
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1991,53.2432,37,2,11.6223
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1991,57.7627,118,1,15.0064
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1991,79.2288,118,2,25.522
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1991,144.0526,76,8,74.0342
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1991,64.8563,174,1,18.1145
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1991,28.982,111,1,10.8586
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1992,59.9737,76,3,22.8111
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1992,119.8367,49,9,65.5494
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1992,82.5841,113,2,19.5707
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1992,53.4286,35,2,11.9393
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1992,57.3169,243,1,14.5586
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1992,74.964,111,2,24.6451
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1992,146.4118,51,11,77.7854
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1992,61.1261,333,1,24.1104
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1993,73.1562,64,4,28.6463
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1993,145.6557,61,6,47.3687
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1993,92.3043,69,2,13.8758
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1993,51.5326,92,1,11.9656
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,1993,83.3,10,10,33.0758
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1993,63.1875,272,1,15.1269
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1993,69.1481,81,3,23.4127
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1993,171.4,50,8,59.0441
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1994,52.4149,94,3,26.3195
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1994,151.1042,48,5,32.1362
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1994,72.8958,96,1,13.7615
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1994,52.0833,48,1,8.3713
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1994,65.0438,160,1,12.5945
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1994,88.3009,113,2,26.2515
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1994,147.3571,28,11,59.2598
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1994,60.4841,283,1,17.5748
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1994,32.0732,123,1,10.9141
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1995,57.8559,111,2,20.9557
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1995,100.35,40,11,67.4744
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1995,83.7826,69,2,13.8223
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1995,53,39,2,10.5456
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1995,57.7746,173,1,13.1446
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1995,94.3876,129,2,22.4737
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1995,169.8939,66,7,58.2227
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1995,49.2766,423,1,24.5177
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1995,33.5294,187,1,13.9262
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1996,59.4111,90,2,20.8633
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1996,133.75,16,17,66.4906
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1996,90.7273,55,1,9.5092
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1996,54.5238,21,2,10.0131
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1996,56.4789,213,1,11.7214
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1996,78.5035,141,2,23.6781
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1996,140.0312,32,8,45.7726
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1996,53.5419,382,1,23.4322
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1996,24.3373,332,1,13.7228
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1997,51.175,40,2,15.8096
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1997,156.4222,45,4,25.3417
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1997,87.7536,69,1,11.6952
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1997,55.4615,52,1,10.556
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1997,60.3182,132,1,12.262
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1997,88.8492,126,3,29.0376
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1997,68,1,NA,NA
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1997,52.3218,404,1,22.7542
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1997,30.3487,304,1,12.644
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1998,59.9298,57,3,22.6951
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1998,131.8125,48,6,39.4465
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1998,87.4833,60,2,14.7952
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1998,51.1053,57,1,8.821
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1998,59.8929,224,1,13.5913
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1998,93.2045,132,2,28.4905
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1998,160.84,25,12,58.6022
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1998,59.0063,476,1,21.4023
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1998,26.9428,367,0,8.2226
SM,San Miguel Island,11007,Parastichopus parvimensis,Warty Sea Cucumber,1998,144.3046,151,3,39.4041
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,1999,67.1081,74,2,21.2858
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,1999,138.6,50,5,36.0844
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,1999,78.2,75,2,20.2244
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,1999,52.2182,55,1,8.7065
SM,San Miguel Island,11001,Patiria miniata,Bat Star,1999,61.4786,117,2,16.2325
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,1999,106.6696,115,3,32.7668
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,1999,216.4,25,13,63.6154
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,1999,39.4384,438,1,17.6064
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,1999,26.9683,441,1,10.5617
SM,San Miguel Island,11007,Parastichopus parvimensis,Warty Sea Cucumber,1999,180.3896,77,5,40.5048
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2000,58.6186,97,2,21.2331
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2000,159.2647,34,5,27.382
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2000,85.8913,46,2,15.9753
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2000,40.2391,46,2,15.9167
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2000,60.0667,120,1,14.6269
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2000,90.992,125,3,37.2904
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2000,201.5614,57,9,68.7225
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2000,44.9663,475,1,18.5472
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2000,20.3514,461,1,11.6842
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2001,68.0435,46,3,18.172
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2001,161.1406,64,5,39.2901
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2001,89.0566,53,2,11.9025
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2001,43.8286,70,1,12.5189
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,2001,88.5333,15,8,32.0064
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2001,58.62,100,2,15.3306
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2001,88.9324,74,4,36.9151
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2001,153.2319,69,8,65.0683
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2001,54.4976,418,1,22.8797
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2001,31.3699,492,1,13.0863
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2002,157.9739,421,2,38.6724
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2002,63.1957,92,1,13.015
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2002,65.8667,60,4,33.4266
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2002,124.0253,79,6,51.8264
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2002,57.75,404,1,22.3787
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2002,24.0933,300,1,12.385
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2003,66.377,61,3,20.8024
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2003,172.0613,261,2,28.4429
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2003,85.7833,60,1,10.2496
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2003,50.0625,48,1,7.1887
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2003,59.6289,159,1,14.635
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2003,86.0534,131,2,24.3318
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2003,129.2593,27,9,49.2432
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2003,62.1901,405,1,26.316
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2003,22.2703,74,1,9.1146
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2004,69.7722,79,2,20.4118
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2004,171.8454,194,2,32.1326
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2004,84.3562,73,1,11.5691
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2004,53.5714,49,1,7.2313
SM,San Miguel Island,9009,Megathura crenulata,Giant Keyhole Limpet,2004,98.3333,6,16,39.3734
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2004,62.9542,131,1,16.8203
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2004,80.5049,103,3,31.1794
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2004,75.3684,57,8,60.3048
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2004,60.7847,590,1,29.7892
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2004,23.7449,392,0,9.6862
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2005,179.0868,265,2,32.2351
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2005,89.975,40,2,10.6229
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2005,53.0208,48,1,6.622
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2005,62.0051,195,1,13.0485
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2005,85.1655,145,2,30.0396
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2005,127.5514,107,8,79.137
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2005,67.9239,578,1,27.9191
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2005,28.8523,237,1,11.2329
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2006,71.6606,109,2,23.7047
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2006,175.9916,237,2,30.7619
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2006,92.0268,112,1,9.1646
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2006,51.5761,92,1,9.3963
SM,San Miguel Island,9009,Megathura crenulata,Giant Keyhole Limpet,2006,92.7692,26,2,10.7492
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,2006,83.8667,15,9,33.9598
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2006,63.7009,214,1,15.2011
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2006,69.758,219,2,24.9098
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2006,80.7473,91,5,45.4627
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2006,75.2091,703,1,27.0004
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2006,36.4737,76,2,14.8013
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2007,62.3462,78,3,22.9329
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2007,173.3013,239,2,33.9411
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2007,85.0959,73,2,14.5078
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2007,44.6481,108,1,13.0164
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,2007,88.8,5,17,37.3925
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2007,62.194,134,1,11.7483
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2007,65.3111,135,2,24.9523
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2007,110.6707,82,7,61.4771
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2007,68.5041,726,1,30.1433
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2007,31.5,274,1,12.0958
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2008,59.2099,81,2,21.2672
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2008,171.7049,305,2,36.5347
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2008,91.3205,78,1,13
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2008,52.4912,114,0,5.0348
SM,San Miguel Island,9009,Megathura crenulata,Giant Keyhole Limpet,2008,58.6667,6,15,37.8559
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,2008,81.25,8,15,41.1261
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2008,58.5763,118,1,12.0756
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2008,73.7698,126,2,25.6519
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2008,107.3542,96,6,58.1394
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2008,79.2013,631,1,24.0073
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2008,32.524,250,1,12.2012
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2009,71.8457,162,2,26.4511
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2009,185.4437,311,2,29.5698
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2009,90.4815,81,1,11.8544
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2009,54.3316,187,1,7.1855
SM,San Miguel Island,9009,Megathura crenulata,Giant Keyhole Limpet,2009,107,23,3,16.2928
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,2009,87.3846,13,11,40.4115
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2009,62.347,219,1,13.999
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2009,73.8865,185,1,17.9862
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2009,107.1134,97,7,69.1896
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2009,75.3804,644,1,25.6595
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2009,34.8046,307,1,13.9666
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2010,75.2715,151,2,24.4385
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2010,186.6862,239,2,25.7362
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2010,93.3284,67,1,8.9973
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2010,56.8728,173,0,6.3891
SM,San Miguel Island,9009,Megathura crenulata,Giant Keyhole Limpet,2010,103.2381,21,3,15.3424
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,2010,100.2308,13,11,39.5688
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2010,63.8297,182,1,15.2028
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2010,96.6,140,2,28.0856
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2010,125.92,50,9,61.6378
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2010,81.3638,635,1,23.8876
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2010,31.9207,290,1,16.8539
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2011,73.4916,179,2,27.2544
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2011,185.2717,346,2,31.7591
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2011,90.9747,79,2,13.3973
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2011,58.3699,173,0,5.1186
SM,San Miguel Island,9009,Megathura crenulata,Giant Keyhole Limpet,2011,110.7391,23,3,15.74
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,2011,84.8065,31,5,29.9126
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2011,61.2634,186,1,14.7186
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2011,99.9503,181,2,30.8219
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2011,102.5067,75,5,44.0621
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2011,61.5233,644,1,28.573
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2011,29.232,487,1,14.2299
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2012,71.3379,145,2,25.6621
SM,San Miguel Island,9002,Haliotis rufescens,Red Abalone,2012,179.9256,309,2,36.4009
SM,San Miguel Island,9006,Kelletia kelletii,Kellets Whelk,2012,88.7,80,2,14.5432
SM,San Miguel Island,9008,Lithopoma gibberosa,Red Turban Snail,2012,54.5669,127,1,15.0905
SM,San Miguel Island,9009,Megathura crenulata,Giant Keyhole Limpet,2012,106.7273,11,4,11.8667
SM,San Miguel Island,9010,Crassedoma giganteum,Rock Scallop,2012,99,29,8,45.0032
SM,San Miguel Island,11001,Patiria miniata,Bat Star,2012,62.616,125,1,15.1177
SM,San Miguel Island,11002,Pisaster giganteus,Giant-spined Sea Star,2012,81.4607,178,2,27.7328
SM,San Miguel Island,11003,Pycnopodia helianthoides,Sunflower Star,2012,108.1786,84,6,58.8044
SM,San Miguel Island,11005,Strongylocentrotus franciscanus,Red Urchin,2012,70.8414,681,1,28.1145
SM,San Miguel Island,11006,Strongylocentrotus purpuratus,Purple Urchin,2012,30.435,354,1,14.5726
SM,San Miguel Island,5002,Tethya aurantia,Orange Puffball Sponge,2013,67.2763,152,2,27.6475
