Site_Number,IslandCode,IslandName,SiteCode,SiteName,Year,Date,MeanTemp,MinTemp,MaxTemp,MeanDepth,SST34,Anom
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-02-09,13.189142857142857,12.35,13.89,43.27,26.7,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-02-16,13.165151515151514,12.66,13.44,43.27,26.6,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-09-28,13.518666666666666,11.69,15.43,43.27,27.2,0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-10-05,15.038690476190476,12.78,17.5,43.27,27.3,0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-10-12,13.059583333333334,10.77,16.07,43.27,27.5,0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-10-19,13.404880952380953,11.54,15.91,43.27,27.5,0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-10-26,14.125059523809526,12.32,16.7,43.27,27.6,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-11-02,12.762916666666667,10.92,15.91,43.27,27.8,1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-11-09,13.501904761904763,11.85,14.64,43.27,27.9,1.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-11-16,12.801607142857144,11.07,14.49,43.27,27.8,1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-11-23,12.774047619047618,11.54,13.71,43.27,27.9,1.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-11-30,12.549940476190475,11.54,13.56,43.27,28,1.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-12-07,12.799285714285716,11.23,14.18,43.27,27.9,1.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-12-14,13.327738095238095,12.63,14.02,43.27,27.9,1.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-12-21,13.250654761904762,11.85,13.87,43.27,27.9,1.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1994,1994-12-28,12.769345238095237,11.85,13.71,43.27,27.8,1.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-01-04,13.56154761904762,12.63,14.18,43.27,27.6,1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-01-11,13.832976190476192,13.25,14.02,43.27,27.6,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-01-18,13.261845238095239,12.16,13.87,43.27,27.6,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-01-25,13.319761904761906,12.32,13.56,43.27,27.5,0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-02-01,13.147440476190477,12.16,13.87,43.27,27.4,0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-02-08,13.350238095238096,12.32,14.18,43.27,27.4,0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-02-15,13.135535714285714,11.54,14.02,43.27,27.3,0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-02-22,13.639404761904762,11.54,14.64,43.27,27.5,0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-03-01,13.907142857142858,12.78,14.8,43.27,27.7,0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-03-08,13.864345238095238,12.16,14.64,43.27,27.4,0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-03-15,13.596369047619048,12.47,14.33,43.27,27.7,0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-03-22,13.512559523809525,11.85,14.33,43.27,27.7,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-03-29,13.121904761904762,11.69,14.02,43.27,27.7,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-04-05,12.500654761904762,11.38,13.25,43.27,27.9,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-04-12,11.006547619047618,9.53,11.85,43.27,27.8,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-04-19,10.19452380952381,9.06,11.23,43.27,28.2,0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-04-26,10.684642857142856,9.84,12.16,43.27,27.9,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-05-03,11.628035714285714,10.46,13.71,43.27,28,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-05-10,11.12077380952381,9.99,11.85,43.27,27.7,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-05-17,11.175119047619049,9.84,12.32,43.27,27.7,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-05-24,10.814642857142857,9.99,11.38,43.27,27.6,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-05-31,10.899047619047618,9.84,12.47,43.27,27.7,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-06-07,10.338214285714285,9.53,11.69,43.27,27.7,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-06-14,10.81625,9.99,12.32,43.27,27.7,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-06-21,10.88827380952381,9.53,14.02,43.27,27.5,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-06-28,12.49904761904762,10.15,15.91,43.27,27.3,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-07-05,12.32720238095238,10.15,15.91,43.27,27.3,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-07-12,11.388452380952382,9.53,15.12,43.27,27.1,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-07-19,12.028571428571428,10.46,15.12,43.27,26.9,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-07-26,11.370238095238095,9.99,13.71,43.27,26.8,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-08-02,12.763333333333335,10.61,15.43,43.27,26.7,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-08-09,12.055297619047618,10.15,14.18,43.27,26.3,-0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-08-16,12.925892857142859,10.61,15.43,43.27,26.4,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-08-23,14.343058823529413,11.23,15.91,43.27,26.3,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-08-30,12.780000000000001,11.11,14.51,43.27,25.9,-0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-09-06,12.596285714285715,10.93,15.78,43.27,26,-0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-09-13,12.019142857142858,10.79,13.89,43.27,26,-0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-09-20,13.31257142857143,10.79,15.94,43.27,26.1,-0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-09-27,12.526285714285715,11.11,15.63,43.27,25.9,-0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-10-04,14.731428571428571,12.21,16.91,43.27,25.6,-1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-10-11,14.949428571428571,13.28,16.58,43.27,25.6,-1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-10-18,15.159142857142859,13.14,17.04,43.27,25.8,-0.9
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-10-25,14.165714285714285,11.72,16.58,43.27,25.6,-1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-11-01,14.398571428571428,12.82,15.32,43.27,25.6,-1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-11-08,14.09457142857143,12.35,15.46,43.27,25.8,-0.9
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-11-15,13.795714285714286,11.72,15.78,43.27,25.7,-1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-11-22,14.151428571428571,12.52,15.94,43.27,25.5,-1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-11-29,13.059714285714286,10.79,14.51,43.27,25.7,-0.9
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-12-06,12.092571428571429,10.63,14.38,43.27,25.6,-1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-12-13,12.954857142857144,11.11,14.51,43.27,25.4,-1.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-12-20,12.793714285714286,11.11,13.59,43.27,25.6,-1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1995-12-27,12.648,10.93,13.89,43.27,25.7,-0.9
1,SM,San Miguel Island,WL,Wyckoff Ledge,1995,1996-01-03,11.604000000000001,11.27,11.89,43.27,25.6,-1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-01-03,12.893,11.42,13.76,43.27,25.6,-1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-01-10,13.406857142857143,12.03,14.51,43.27,25.6,-1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-01-17,12.230285714285714,10.49,13.28,43.27,25.9,-0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-01-24,11.156285714285714,10.18,12.21,43.27,25.9,-0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-01-31,11.912,10.49,13.28,43.27,25.8,-0.9
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-02-07,12.521428571428572,10.79,13.76,43.27,25.6,-1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-02-14,13.453714285714286,12.21,14.2,43.27,25.8,-0.9
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-02-21,12.946571428571428,11.89,13.89,43.27,25.8,-1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-02-28,12.75457142857143,12.21,13.76,43.27,26.3,-0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-03-06,13.2,11.89,13.89,43.27,26.2,-0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-03-13,13.186857142857143,11.89,14.2,43.27,26.6,-0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-03-20,12.806857142857144,10.49,13.76,43.27,26.8,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-03-27,12.243714285714287,11.59,12.82,43.27,26.8,-0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-04-03,12.618,11.42,13.89,43.27,27,-0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-04-10,11.941142857142857,10.49,13.28,43.27,27.4,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-04-17,11.685142857142857,10.02,13.76,43.27,27.3,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-04-24,10.38142857142857,9.24,11.11,43.27,27.6,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-05-01,11.205428571428572,10.32,13.89,43.27,27.4,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-05-08,10.819428571428572,9.38,12.35,43.27,27.6,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-05-15,12.223714285714285,10.79,14.7,43.27,27.3,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-05-22,10.799142857142856,9.87,12.21,43.27,27.2,-0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-05-29,10.826,9.55,12.03,43.27,27.3,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-06-05,11.808285714285715,10.49,13.14,43.27,27.3,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-06-12,10.934,9.7,12.97,43.27,27.3,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-06-19,10.694857142857142,9.24,12.97,43.27,27.3,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-06-26,11.160571428571428,9.87,13.28,43.27,27.3,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-07-03,11.610857142857142,10.02,13.89,43.27,27.6,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-07-10,12.9,10.32,15.32,43.27,27.1,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-07-17,12.798,11.27,14.38,43.27,27.1,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-07-24,13.26217391304348,11.07,15.94,43.27,26.9,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-07-31,12.93375,10.61,15.89,43.27,26.6,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-08-07,13.442678571428571,11.53,17,43.27,26.7,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-08-14,14.787678571428572,12,17.16,43.27,26.5,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-08-21,13.41095238095238,11.53,15.42,43.27,26.5,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-08-28,13.018035714285716,11.22,16.05,43.27,26.5,-0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-09-04,14.099702380952381,11.84,15.73,43.27,26.4,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-09-11,13.35011904761905,11.07,15.89,43.27,26.2,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-09-18,13.79154761904762,11.22,17,43.27,26.4,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-09-25,14.677023809523808,12.62,17.16,43.27,26.3,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-10-02,14.806607142857144,12.93,16.68,43.27,26.2,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-10-09,14.223035714285713,11.84,16.84,43.27,26.2,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-10-16,12.347380952380954,10.61,14.94,43.27,26.3,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-10-23,12.010892857142856,10.29,14.47,43.27,26.2,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-10-30,13.297142857142857,11.38,14.79,43.27,26.1,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-11-06,12.809345238095236,11.07,14.01,43.27,26.1,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-11-13,12.596071428571427,10.76,14.32,43.27,26.2,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-11-20,13.3425,11.69,15.42,43.27,26.3,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-11-27,12.678333333333333,10.91,14.63,43.27,26.2,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-12-04,12.396845238095239,11.53,13.54,43.27,26.3,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-12-11,13.07154761904762,11.38,14.32,43.27,26.1,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-12-18,13.34470238095238,11.84,13.85,43.27,25.9,-0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1996-12-25,13.001845238095237,11.53,13.69,43.27,25.9,-0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1996,1997-01-01,13.6775,12.46,14.16,43.27,25.8,-0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-01-01,13.544166666666667,12.16,14.47,43.27,25.8,-0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-01-08,12.62029761904762,11.53,13.39,43.27,25.9,-0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-01-15,12.754464285714286,11.53,13.39,43.27,25.8,-0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-01-22,13.032440476190475,11.69,13.54,43.27,25.9,-0.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-01-29,12.791369047619046,11.38,13.54,43.27,26.3,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-02-05,12.037202380952381,11.07,13.08,43.27,26.2,-0.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-02-12,11.87732142857143,10.61,12.93,43.27,26.4,-0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-02-19,11.279404761904763,10.14,12.46,43.27,26.4,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-02-26,11.061964285714286,9.98,11.84,43.27,26.5,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-03-05,10.616488095238095,9.98,12,43.27,26.6,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-03-12,11.037142857142857,9.83,12.46,43.27,26.8,-0.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-03-19,11.896666666666667,10.61,13.39,43.27,27.4,0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-03-26,12.344583333333333,10.76,14.32,43.27,27.3,-0.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-04-02,11.790238095238095,10.45,13.54,43.27,27.5,0
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-04-09,11.02297619047619,9.83,12.62,43.27,27.8,0.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-04-16,11.590238095238096,10.45,13.54,43.27,28,0.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-04-23,10.355714285714285,9.21,11.69,43.27,28.4,0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-04-30,10.118869047619048,9.37,10.91,43.27,28.4,0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-05-07,10.18970238095238,9.52,11.38,43.27,28.6,0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-05-14,11.477916666666667,9.21,15.11,43.27,28.5,0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-05-21,12.519642857142859,10.29,16.21,43.27,28.6,0.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-05-28,10.890595238095237,9.52,16.05,43.27,28.8,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-06-04,10.891011904761905,9.67,12.93,43.27,28.8,1.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-06-11,11.904404761904763,10.14,14.79,43.27,28.9,1.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-06-18,12.414345238095239,10.45,14.32,43.27,29,1.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-06-25,12.190654761904764,10.14,14.94,43.27,29.1,1.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-07-02,11.48607142857143,10.29,13.69,43.27,29,1.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-07-09,12.283313609467456,10.45,15.27,43.27,28.9,1.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-07-16,12.762916666666667,10.31,15.75,43.27,29,1.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-07-23,14.104226190476192,11.54,16.22,43.27,28.8,1.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-07-30,14.465119047619046,12.47,16.07,43.27,28.9,1.9
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-08-06,14.809702380952382,11.85,18.79,43.27,28.8,1.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-08-13,16.486250000000002,14.18,18.95,43.27,28.9,2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-08-20,16.32779761904762,12.94,19.11,43.27,28.9,2.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-08-27,14.723392857142859,13.25,16.86,43.27,28.8,2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-09-03,15.594404761904762,13.56,18.31,43.27,28.9,2.1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-09-10,15.943809523809524,13.56,18.31,43.27,28.9,2.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-09-17,15.907619047619047,13.25,17.82,43.27,28.9,2.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-09-24,16.11559523809524,13.25,18.79,43.27,28.9,2.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-10-01,16.81392857142857,14.02,19.76,43.27,29.1,2.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-10-08,15.57577380952381,12.78,19.92,43.27,29.2,2.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-10-15,16.340714285714284,13.71,18.95,43.27,29.2,2.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-10-22,16.025535714285713,13.25,18.31,43.27,29.3,2.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-10-29,15.993452380952382,13.41,18.14,43.27,29.2,2.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-11-05,16.59452380952381,13.87,19.11,43.27,29.2,2.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-11-12,16.81875,14.64,17.98,43.27,29.3,2.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-11-19,16.663392857142856,14.8,18.47,43.27,29.3,2.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-11-26,17.15363095238095,15.59,18.31,43.27,29.4,2.8
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-12-03,17.115357142857142,15.43,17.66,43.27,29.2,2.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-12-10,16.554523809523808,15.75,17.5,43.27,29.2,2.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-12-17,16.105892857142855,14.8,16.54,43.27,29.3,2.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-12-24,14.877083333333333,13.56,15.91,43.27,29.3,2.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1997,1997-12-31,15.997083333333334,15.27,16.22,43.27,29.2,2.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1997-12-31,16.164583333333333,15.59,16.38,43.27,29.2,2.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-01-07,15.633095238095239,15.12,16.38,43.27,29.2,2.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-01-14,15.626607142857143,15.12,16.22,43.27,29.1,2.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-01-21,15.332559523809524,14.8,15.75,43.27,29,2.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-01-28,15.355238095238095,14.8,15.75,43.27,29.1,2.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-02-04,15.705238095238096,15.43,16.07,43.27,29.2,2.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-02-11,15.340357142857142,14.96,15.75,43.27,29,2.3
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-02-18,15.079642857142858,14.64,15.43,43.27,28.7,1.9
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-02-25,14.520714285714286,13.09,15.27,43.27,28.6,1.7
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-03-04,13.441964285714286,12.47,14.33,43.27,28.5,1.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-03-11,13.450714285714284,12.47,14.49,43.27,28.7,1.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-03-18,13.36761904761905,11.85,14.49,43.27,28.6,1.4
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-03-25,14.036904761904761,12.32,15.43,43.27,28.8,1.5
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-04-01,13.488690476190476,12.94,13.87,43.27,28.7,1.2
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-04-08,13.145476190476192,12.32,13.87,43.27,28.6,1
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-04-15,12.713273809523809,11.54,13.41,43.27,28.4,0.6
1,SM,San Miguel Island,WL,Wyckoff Ledge,1998,1998-04-22,12.910595238095238,11.54,14.33,43.27,28.5,0.7
