SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,MeanSize,TotalCount,StandardError,StandardDeviation,IslandDate,IslandTotalCount,Island_Mean,IslandSD,IslandSE,MeanDepth
1,SM,San Miguel Island,WL,Wyckoff Ledge,9005,Cypraea spadicea,Chestnut Cowrie,1986,1986-06-09,55,2,0.7071067811865475,1,1986-07-05,32,45.28125,3.7871768288968677,0.17677669529663687,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1986,1986-06-09,91.65,40,2.647534230184758,16.744476701288697,1986-06-09,40,91.65,16.744476701288697,2.647534230184758,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1986,1986-06-09,61.63333333333333,30,1.152276330027108,6.311277384351144,1986-06-09,30,61.63333333333333,6.311277384351144,1.152276330027108,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9009,Megathura crenulata,Giant Keyhole Limpet,1986,1986-06-09,69,1,0,0,1986-07-05,15,55.13333333333333,21.820043210642037,0,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1986,1986-06-09,62.111111111111114,9,7.427749845280221,22.283249535840664,1986-06-28,31,61,25.750880620296385,4.002189763022654,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1986,1986-06-09,58.4,50,1.31057239403247,9.267146270562476,1986-06-23,101,56.46534653465346,11.80640445594853,0.9221155186325466,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1986,1986-06-09,78.13333333333334,30,5.460307954956658,29.90733837854664,1986-06-23,60,100.9,30.67956250593472,3.861020782316702,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1986,1986-06-09,63.16,100,1.7287405820423143,17.287405820423142,1986-06-23,200,51.475,16.054287589301495,1.2224041884744994,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1986,1986-06-09,34.71212121212121,132,1.1016167632174276,12.656613017557925,1986-06-21,235,31.70212765957447,11.037378498724985,0.8256263981126674,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11007,Parastichopus parvimensis,Warty Sea Cucumber,1986,1986-06-09,154.05405405405406,37,4.641406355022271,28.232572664217503,1986-06-19,60,173.75,36.97060635734938,3.644809458303505,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1987,1987-08-12,54.70967741935484,31,4.427751276913879,24.652675767076218,1987-08-11,67,52.82089552238806,20.33379144215072,3.011803700359852,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1987,1987-08-12,156.41666666666666,12,8.589769701133932,29.7558350953594,1987-08-11,18,150.44444444444446,27.534237945860408,7.013517591932431,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1987,1987-08-12,93.05128205128206,39,2.698515119474261,16.852221519764576,1987-08-11,42,92.80952380952381,16.312837555393884,2.60035423480293,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1987,1987-08-12,59.958333333333336,24,1.1524116721194027,5.6456411406401745,1987-08-11,40,53.85,10.55035050760558,0.8926542428186975,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1987,1987-08-12,58.333333333333336,6,10.180773455300347,24.937700152357454,1987-08-11,31,86.19354838709677,30.38461693417508,4.478943167717311,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1987,1987-08-12,66.7,50,1.727946758439044,12.218428704215611,1987-08-11,104,59.49038461538461,12.82824713284806,1.1981155074661078,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1987,1987-08-12,65.86666666666666,30,2.8510167127353525,15.615661653893788,1987-08-11,65,75.03076923076924,21.867084334436935,1.936884448675596,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1987,1987-08-12,85,4,20.60946384552495,41.2189276910499,1987-08-11,30,152,64.03840994838917,7.525512164187454,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1987,1987-08-12,60.34,100,1.7807425417504912,17.807425417504913,1987-08-11,198,52.611111111111114,16.83580858256402,1.2655186184870508,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1987,1987-08-12,36.69736842105263,76,1.5005792668252014,13.08174676172682,1987-08-11,179,28.558659217877096,10.071114672698146,0.9777756604208622,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11007,Parastichopus parvimensis,Warty Sea Cucumber,1987,1987-08-12,129.71428571428572,35,5.054571005203827,29.903245336127867,1987-08-11,65,163.53846153846155,33.21888778232206,3.7090410986226057,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1988,1988-07-27,62.03030303030303,33,3.7127049259027434,21.32786603495864,1988-07-26,63,56.26984126984127,19.33449765116227,2.6870585487715126,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1988,1988-07-27,156.1,30,5.8067680817779825,31.804978645908044,1988-07-25,69,118.8695652173913,41.00576542653821,3.8288694866623123,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9005,Cypraea spadicea,Chestnut Cowrie,1988,1988-07-27,52.5,6,3.5492565731744756,8.69386757049665,1988-07-25,36,45.05555555555556,4.957784750231663,1.4489779284161084,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1988,1988-07-27,74.26666666666667,30,2.4390040468889636,13.358975343274732,1988-07-27,30,74.26666666666667,13.358975343274732,2.4390040468889636,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1988,1988-07-27,62.18181818181818,11,2.577134618131142,8.547388562576842,1988-07-26,12,63.583333333333336,8.18350151033755,2.4674185437360343,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1988,1988-07-27,52.46296296296296,54,2.3204690888171013,17.05189569450875,1988-07-26,104,53.92307692307692,15.374155988693245,1.6720759401932483,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1988,1988-07-27,54.4375,32,5.0622950382892045,28.63666519953048,1988-07-26,63,68.12698412698413,24.031662475394523,3.6078806902940714,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1988,1988-07-27,73.69902912621359,103,1.9494427592594383,19.784683176078214,1988-07-25,207,63.2512077294686,16.895059502027756,1.3751305399216045,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1988,1988-07-27,42.196969696969695,66,1.4932077157432695,12.130876828797058,1988-07-25,242,34.82231404958678,8.757964783985242,0.779802297034651,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11007,Parastichopus parvimensis,Warty Sea Cucumber,1988,1988-07-27,151.875,32,6.838503982505968,38.68442031360946,1988-07-25,65,184.30769230769232,42.15239031566311,4.798211806335933,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1989,1989-08-16,64.54838709677419,31,2.6289189406322566,14.63720119042113,1989-08-16,58,61.793103448275865,16.536257819822485,1.9219586753642832,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1989,1989-08-16,171.36363636363637,22,4.786579661250151,22.451048678778005,1989-08-16,28,154.89285714285714,34.007662429165926,4.242849391189417,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9005,Cypraea spadicea,Chestnut Cowrie,1989,1989-08-16,48,6,0.912870929175277,2.23606797749979,1989-08-16,36,47.388888888888886,4.824321099810218,0.37267799624996495,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1989,1989-08-16,79.91428571428571,35,2.6785227206455757,15.846354116184271,1989-08-16,35,79.91428571428571,15.846354116184271,2.6785227206455757,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1989,1989-08-16,53.34782608695652,23,1.8727058510973147,8.981181754584677,1989-08-16,23,53.34782608695652,8.981181754584677,1.8727058510973147,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1989,1989-08-16,75.11111111111111,9,6.984010741376712,20.952032224130136,1989-08-16,20,83.5,30.35739971031309,4.685016831992109,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1989,1989-08-16,60.74545454545454,55,2.2567757563447115,16.73669694991782,1989-08-16,103,63.18446601941748,15.16172222020156,1.6491157524517055,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1989,1989-08-16,64.71739130434783,46,6.595787095828331,44.73480458234722,1989-08-16,88,66.9090909090909,37.38775660643114,4.768746191492336,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1989,1989-08-16,57.39393939393939,33,8.68697973320443,49.90289928659905,1989-08-16,64,83.09375,54.89756885088834,6.2378624108248815,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1989,1989-08-16,59.09322033898305,118,2.1982661186037133,23.879282307634835,1989-08-16,218,56.022935779816514,22.00124835660355,1.617309073750414,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1989,1989-08-16,35.378787878787875,66,1.7585897220821625,14.286850440193568,1989-08-16,183,33.060109289617486,11.569070851895896,1.0561143740337788,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11007,Parastichopus parvimensis,Warty Sea Cucumber,1989,1989-08-16,132.57142857142858,35,5.052263297917764,29.889592755707476,1989-08-16,79,143.54430379746836,29.347610840437348,3.3628419173052615,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1990,1990-07-24,78.03225806451613,31,4.548383406763029,25.3243270406626,1990-07-24,89,64.87640449438203,20.577224015999384,2.6843732975690093,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1990,1990-07-24,155.77777777777777,18,8.688560506566601,36.8624403176572,1990-07-24,42,83.85714285714286,33.402646189887,5.687998028792186,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1990,1990-07-24,95.52631578947368,38,2.1616580925962987,13.325355415631831,1990-07-24,38,95.52631578947368,13.325355415631831,2.1616580925962987,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1990,1990-07-24,47.96,25,1.9361652822008764,9.680826411004382,1990-07-24,25,47.96,9.680826411004382,1.9361652822008764,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1990,1990-07-24,68.66666666666667,54,1.531560972454469,11.254628677422755,1990-07-24,105,61.7047619047619,15.002645269397163,1.098339294730552,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1990,1990-07-24,63.755102040816325,49,2.799793324353804,19.59855327047663,1990-07-24,100,70.44,23.779213704447013,1.9598553270476629,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1990,1990-07-24,97.05263157894737,19,16.00562118781444,69.76688528627659,1990-07-24,65,144.04615384615386,65.88175426321351,8.65351709959907,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1990,1990-07-24,59.24528301886792,106,2.4302227863229278,25.020674968179748,1990-07-24,208,58.70673076923077,20.19382245114214,1.7348716643171231,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1990,1990-07-24,25.625,16,2.676394204428787,10.705576817715148,1990-07-24,126,35.666666666666664,8.044503290386125,0.9537285852304701,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11007,Parastichopus parvimensis,Warty Sea Cucumber,1990,1990-07-24,121.33333333333333,30,4.514995590826771,24.729649321321876,1990-07-24,60,147.66666666666666,23.687784005919827,3.1925839993009726,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1991,1991-07-23,72.53571428571429,28,4.19014944903494,22.17218679668153,1991-07-24,68,64.69117647058823,19.22366964941699,2.688772591577742,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1991,1991-07-23,157.94642857142858,56,5.128229423215022,38.37615500488791,1991-07-23,77,124,36.40751980640712,4.373368746661447,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1991,1991-07-23,90,51,2.289000493727449,16.346733198853823,1991-07-23,51,90,16.346733198853823,2.289000493727449,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1991,1991-07-23,53.24324324324324,37,1.884698837588698,11.464175470181141,1991-07-23,37,53.24324324324324,11.464175470181141,1.884698837588698,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1991,1991-07-23,62.94,50,1.050108565815935,7.425388878705276,1991-07-24,118,57.76271186440678,14.267922908665337,0.683562452976057,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1991,1991-07-23,70.72549019607843,51,3.4663293278523346,24.75454280461649,1991-07-24,118,79.22881355932203,24.306689236499434,2.278840378360752,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1991,1991-07-23,108.63636363636364,11,24.57515802973251,81.5065783483124,1991-07-24,76,144.05263157894737,72.08797686024157,9.349445743528264,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1991,1991-07-23,73.93243243243244,74,2.224960590181351,19.13983470309111,1991-07-24,174,64.856321839080465,16.28776816315127,1.4509871242836971,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1991,1991-07-23,34.7,10,5.312344115359997,16.79910711912987,1991-07-24,111,28.98198198198198,10.6587673397251,1.5945006843624847,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1992,1992-09-16,67.33333333333333,30,5.277064279256735,28.90367143153655,1992-08-08,76,59.973684210526315,21.86720548721269,3.315478496509774,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1992,1992-09-16,153.23809523809524,21,7.5008403949126645,34.37316888546974,1992-08-10,49,119.83673469387755,58.071476684134666,4.910452697924248,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1992,1992-09-16,87.52577319587628,97,1.231006644415022,12.124009393909732,1992-09-06,113,82.58407079646018,15.217577042206472,1.1405308645329655,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1992,1992-09-16,53.42857142857143,35,1.989066323592591,11.767475064250407,1992-09-16,35,53.42857142857143,11.767475064250407,1.989066323592591,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1992,1992-09-16,62.83571428571429,140,0.98657367890427,11.673297192607528,1992-08-19,243,57.31687242798354,13.026202870012039,0.7488423640536065,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1992,1992-09-16,72.67441860465117,43,4.472827755947921,29.33029303942016,1992-08-07,111,74.96396396396396,24.466176772110263,2.7839082156129513,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1992,1992-09-16,77.45454545454545,11,18.068905593903093,59.92778022733035,1992-07-27,51,146.41176470588235,68.00203316924807,8.391567713233824,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1992,1992-09-16,66.7463768115942,138,2.6639688147690577,31.294547748075285,1992-08-09,333,61.126126126126124,23.605288406296232,1.714930652654242,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1993,1993-09-14,76.8125,32,5.22547050438403,29.559725028321896,1993-09-06,64,73.15625,28.18545585714377,3.694965628540237,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1993,1993-09-14,151.94827586206895,58,5.112376999139211,38.93470325708164,1993-09-13,61,145.65573770491804,37.96694956759927,4.985077926149896,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1993,1993-09-14,89.51428571428572,35,2.0240881760947107,11.974667137804895,1993-08-13,69,92.30434782608695,13.480895786697154,1.4415805188027684,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1993,1993-09-14,52.75581395348837,86,1.204477859325397,11.169868153655075,1993-09-09,92,51.53260869565217,10.9623228720127,1.1645392565770838,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9010,Crassedoma giganteum,Rock Scallop,1993,1993-09-14,83.3,10,9.922751634501388,31.378495821183016,1993-09-14,10,83.3,31.378495821183016,9.922751634501388,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1993,1993-09-14,65.49166666666666,120,0.9109668119132592,9.97914144046916,1993-08-27,272,63.1875,14.959671287444113,0.60507432664754,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1993,1993-09-14,72.41304347826087,46,3.960530230173442,26.861622929179354,1993-08-17,81,69.14814814814815,22.964663646513866,2.9846247699088173,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1993,1993-09-14,179.5,2,56.922095885517074,80.5,1993-08-15,50,171.4,58.42727316929997,11.384419177103414,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1994,1994-07-13,60.31666666666667,60,3.542165977874952,27.4374996836244,1994-08-09,94,52.41489361702128,23.98258541986128,2.8299620117909123,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1994,1994-07-13,151.10416666666666,48,4.589885428790276,31.79965905433928,1994-07-13,48,151.10416666666666,31.79965905433928,4.589885428790276,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1994,1994-07-13,76.86666666666666,60,1.948570226069855,15.09356006896834,1994-08-10,96,72.89583333333333,12.693566101390514,1.540480023792488,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1994,1994-07-13,52.083333333333336,48,1.195634904171869,8.283601605313692,1994-07-13,48,52.083333333333336,8.283601605313692,1.195634904171869,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1994,1994-07-13,69.94949494949495,99,1.1120632960794272,11.064890088664095,1994-08-10,160,65.04375,10.889024760820497,0.8747563684900246,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1994,1994-09-27,75.96078431372548,51,3.604640605937418,25.742282897921402,1994-09-27,113,88.30088495575221,23.617392047907753,2.4216302721908844,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1994,1994-09-27,130.5,2,24.395183950935888,34.5,1994-09-27,28,147.35714285714286,58.00381287201996,6.519887159409169,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1994,1994-07-13,57.674698795180724,83,2.2970762456202345,20.927360561953304,1994-09-04,283,60.48409893992933,17.450152820361122,1.2440024599892714,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1994,1994-07-13,30.25581395348837,43,2.285726638591431,14.988511915922768,1994-08-31,123,32.073170731707314,10.787672144482446,1.3514686063438537,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1995,1995-08-21,64.4225352112676,71,2.372949952824081,19.994831706747483,1995-08-21,111,57.85585585585586,18.937955582760573,1.897825438818496,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1995,1995-08-21,153.9090909090909,22,8.577529044421173,40.23217741029627,1995-08-21,40,100.35,30.54406487339069,6.361265792225541,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1995,1995-08-21,83.78260869565217,69,1.6519030499068945,13.721737293583757,1995-08-21,69,83.78260869565217,13.721737293583757,1.6519030499068945,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1995,1995-08-21,53,39,1.6668638936558982,10.409561679483645,1995-08-21,39,53,10.409561679483645,1.6668638936558982,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1995,1995-08-21,64.53846153846153,65,1.1970529735875832,9.650949611430311,1995-08-21,173,57.774566473988436,12.010273147079975,0.7337481116453801,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1995,1995-08-21,80.77777777777777,27,5.1433052983330665,26.72539828665322,1995-08-21,129,94.3875968992248,21.263145840374413,2.35304011433971,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1995,1995-08-21,165.5,4,33.50652921446804,67.01305842893608,1995-08-21,66,169.8939393939394,57.76913934282349,8.248737277102881,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11005,Strongylocentrotus franciscanus,Red Urchin,1995,1995-08-21,60.23671497584541,207,1.2967159168156477,18.656493211937512,1995-08-21,423,49.276595744680854,22.013174930239416,0.9071097412465975,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11006,Strongylocentrotus purpuratus,Purple Urchin,1995,1995-08-21,38.77570093457944,107,1.3957066050767228,14.437301383487936,1995-08-21,187,33.529411764705884,12.493550062655306,1.05576003805572,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,5002,Tethya aurantia,Orange Puffball Sponge,1996,1996-07-22,64.82456140350877,57,2.781254890695211,20.99801394703589,1996-08-04,90,59.41111111111111,19.489063714445333,2.213385013753855,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9002,Haliotis rufescens,Red Abalone,1996,1996-07-22,151.5,14,12.581063677817792,47.07402984358027,1996-07-29,16,133.75,44.03691633164157,11.768507460895067,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9006,Kelletia kelletii,Kellets Whelk,1996,1996-09-16,90.72727272727273,55,1.2705057353042615,9.422322712009827,1996-09-16,55,90.72727272727273,9.422322712009827,1.2705057353042615,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,9008,Lithopoma gibberosa,Red Turban Snail,1996,1996-09-16,54.523809523809526,21,2.1323754733325124,9.771772016613527,1996-09-16,21,54.523809523809526,9.771772016613527,2.1323754733325124,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11001,Patiria miniata,Bat Star,1996,1996-07-22,58.81578947368421,114,1.0852806413099927,11.587626332681516,1996-07-28,213,56.478873239436616,11.42184650667448,0.793971073685358,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11002,Pisaster giganteus,Giant-spined Sea Star,1996,1996-07-22,68.06666666666666,75,2.665021714872271,23.079765067165557,1996-07-28,141,78.50354609929079,20.806085340377212,1.943666848907741,43.27
1,SM,San Miguel Island,WL,Wyckoff Ledge,11003,Pycnopodia helianthoides,Sunflower Star,1996,1996-07-22,93.5,2,18.738329701443508,26.5,1996-08-04,32,140.03125,43.42017340284736,4.684582425360877,43.27
