ReserveStatus,SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,MeanDensity_sqm,StandardError,StandardDeviation,TotalCount,QuadratsSampled,AreaSurveyed_sqm,MeanDepth,MPA_Date,MPA_TotalCount,MPA_Mean,MPA_SD,MPA_SE,MPA_Quads,MPA_AreaSurveyed
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9007,Megastraea undosa,Wavy Turban Snail,2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9008,Lithopoma gibberosa,Red Turban Snail,2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9014,Tegula regina,Queen Tegula,2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11001,Patiria miniata,Bat Star,2008,2008-09-29,1.0417,0.1893,0.6557,25,12,24,33.18,2008-08-22,159,2.2083,1.9798,0.33,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2008,2008-09-29,0.2083,0.1145,0.3965,5,12,24,33.18,2008-08-22,14,0.1944,0.3641,0.0607,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11005,Strongylocentrotus franciscanus,Red Urchin,2008,2008-09-29,0.125,0.0897,0.3108,3,12,24,33.18,2008-08-22,104,1.4444,3.6621,0.6104,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11006,Strongylocentrotus purpuratus,Purple Urchin,2008,2008-09-29,0.0417,0.0417,0.1443,1,12,24,33.18,2008-08-22,130,1.8056,4.146,0.691,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11007,Parastichopus parvimensis,Warty Sea Cucumber,2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,6,0.0833,0.2236,0.0373,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11009,Centrostephanus coronatus,Coronado Urchin,2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,12002,Styela montereyensis,Stalked Tunicate,2008,2008-09-29,6.1667,1.2497,4.3293,148,12,24,33.18,2008-08-22,162,2.25,3.735,0.6225,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14025,Lythrypnus dalli,Blue-banded Goby,2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14026,Coryphopterus nicholsi,Blackeye Goby,2008,2008-09-29,0.0833,0.0562,0.1946,2,12,24,33.18,2008-08-22,23,0.3194,0.7667,0.1278,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14027,Alloclinus holderi,Island Kelpfish,2008,2008-09-29,0,0,0,0,12,24,33.18,2008-08-22,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002,Macrocystis pyrifera,Giant Kelp (Adult),2009,2009-07-13,0.5417,0.1438,0.4981,13,12,24,33.18,2009-07-31,30,0.4167,0.5,0.0833,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),2009,2009-07-13,3.4583,0.918,3.1799,83,12,24,33.18,2009-07-31,111,1.5417,2.4301,0.405,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004,Eisenia arborea,Southern Sea Palm (Adult),2009,2009-07-13,0,0,0,0,12,24,33.18,2009-07-31,4,0.0556,0.2323,0.0387,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004.5,Eisenia arborea,Southern Sea Palm (Juvenile),2009,2009-07-13,0,0,0,0,12,24,33.18,2009-07-31,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Pterygophora californica,California Sea Palm (Adult),2009,2009-07-13,0.4583,0.2172,0.7525,11,12,24,33.18,2009-07-31,90,1.25,2.9677,0.4946,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005.5,Pterygophora californica,California Sea Palm (Juvenile),2009,2009-07-13,0.2083,0.0965,0.3343,5,12,24,33.18,2009-07-31,29,0.4028,0.9548,0.1591,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Laminaria farlowii,Oar Weed (Adult),2009,2009-07-13,0.625,0.1523,0.5276,15,12,24,33.18,2009-07-31,26,0.3611,0.5426,0.0904,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006.5,Laminaria farlowii,Oar Weed (Juvenile),2009,2009-07-13,0.2917,0.1145,0.3965,7,12,24,33.18,2009-07-31,10,0.1389,0.3073,0.0512,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9005,Cypraea spadicea,Chestnut Cowrie,2009,2009-07-13,0.0833,0.0562,0.1946,2,12,24,33.18,2009-07-31,28,0.3889,0.6449,0.1075,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9007,Megastraea undosa,Wavy Turban Snail,2009,2009-07-13,0.0417,0.0417,0.1443,1,12,24,33.18,2009-07-31,1,0.0139,0.0833,0.0139,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9008,Lithopoma gibberosa,Red Turban Snail,2009,2009-07-13,0,0,0,0,12,24,33.18,2009-07-31,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,9014,Tegula regina,Queen Tegula,2009,2009-07-13,0,0,0,0,12,24,33.18,2009-07-31,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11001,Patiria miniata,Bat Star,2009,2009-07-13,1.7083,0.2572,0.8908,41,12,24,33.18,2009-07-31,250,3.4722,1.8896,0.3149,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2009,2009-07-13,0.3333,0.1667,0.5774,8,12,24,33.18,2009-07-31,16,0.2222,0.4383,0.073,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11005,Strongylocentrotus franciscanus,Red Urchin,2009,2009-07-13,0.25,0.1443,0.5,6,12,24,33.18,2009-07-31,116,1.6111,3.185,0.5308,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11006,Strongylocentrotus purpuratus,Purple Urchin,2009,2009-07-13,0.3333,0.2072,0.7177,8,12,24,33.18,2009-07-31,235,3.2639,6.4437,1.0739,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11007,Parastichopus parvimensis,Warty Sea Cucumber,2009,2009-07-13,0,0,0,0,12,24,33.18,2009-07-31,4,0.0556,0.1594,0.0266,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11009,Centrostephanus coronatus,Coronado Urchin,2009,2009-07-13,0,0,0,0,12,24,33.18,2009-07-31,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,12002,Styela montereyensis,Stalked Tunicate,2009,2009-07-13,3,0.736,2.5495,72,12,24,33.18,2009-07-31,118,1.6389,1.8921,0.3154,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14025,Lythrypnus dalli,Blue-banded Goby,2009,2009-07-13,0,0,0,0,12,24,33.18,2009-07-31,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14026,Coryphopterus nicholsi,Blackeye Goby,2009,2009-07-13,0.0833,0.0562,0.1946,2,12,24,33.18,2009-07-31,44,0.6111,1.5543,0.2591,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,14027,Alloclinus holderi,Island Kelpfish,2009,2009-07-13,0,0,0,0,12,24,33.18,2009-07-31,0,0,0,0,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002,Macrocystis pyrifera,Giant Kelp (Adult),2010,2010-08-16,0.7083,0.2258,0.7821,17,12,24,33.18,2010-08-09,22,0.3056,0.5513,0.0919,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.5,Macrocystis pyrifera,Giant Kelp (Juvenile),2010,2010-08-16,0.1667,0.1667,0.5774,4,12,24,33.18,2010-08-09,20,0.2778,0.7507,0.1251,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004,Eisenia arborea,Southern Sea Palm (Adult),2010,2010-08-16,0.0417,0.0417,0.1443,1,12,24,33.18,2010-08-09,8,0.1111,0.3608,0.0601,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2004.5,Eisenia arborea,Southern Sea Palm (Juvenile),2010,2010-08-16,0,0,0,0,12,24,33.18,2010-08-09,4,0.0556,0.1992,0.0332,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005,Pterygophora californica,California Sea Palm (Adult),2010,2010-08-16,0.3333,0.1421,0.4924,8,12,24,33.18,2010-08-09,56,0.7778,1.7786,0.2964,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2005.5,Pterygophora californica,California Sea Palm (Juvenile),2010,2010-08-16,0.0833,0.0562,0.1946,2,12,24,33.18,2010-08-09,7,0.0972,0.2007,0.0334,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006,Laminaria farlowii,Oar Weed (Adult),2010,2010-08-16,0.6667,0.2909,1.0075,16,12,24,33.18,2010-08-09,23,0.3194,0.7187,0.1198,36,72
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2006.5,Laminaria farlowii,Oar Weed (Juvenile),2010,2010-08-16,0.0833,0.0562,0.1946,2,12,24,33.18,2010-08-09,15,0.2083,0.865,0.1442,36,72
