ReserveStatus,SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,Date,MeanDensity_sqm,StandardError,StandardDeviation,TotalCount,AreaSurveyed_sqm,MeanDepth,MPA_Date,MPA_TotalCount,MPA_Mean,MPA_SD,MPA_SE,MPA_AreaSurveyed_sqm
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2013,2013-08-13,0,0,0,0,200,33.18,2013-08-04,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2013,2013-08-13,0.095,0.0365,0.2309,19,200,33.18,2013-08-04,102,0.51,0.314,0.0287,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11011,Pisaster ochraceus,Ochre Sea Star,2013,2013-08-13,0,0,0,0,200,33.18,2013-08-04,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2014,2014-07-30,0.335,0.0477,0.3017,67,200,33.18,2014-07-20,112,0.56,0.247,0.0225,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2014,2014-07-30,0.575,0.0727,0.4601,115,200,33.18,2014-07-20,120,0.6,0.3766,0.0344,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2014,2014-07-30,0,0,0,0,200,33.18,2014-07-20,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2014,2014-07-30,0,0,0,0,200,33.18,2014-07-20,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2014,2014-07-30,0,0,0,0,200,33.18,2014-07-20,3,0.015,0.0314,0.0029,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11011,Pisaster ochraceus,Ochre Sea Star,2014,2014-07-30,0,0,0,0,200,33.18,2014-07-20,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2015,2015-08-13,0.21,0.0429,0.2716,42,200,33.18,2015-07-27,77,0.385,0.2087,0.0191,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2015,2015-08-13,0.145,0.0411,0.2601,29,200,33.18,2015-07-27,73,0.365,0.2309,0.0211,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2015,2015-08-13,0,0,0,0,200,33.18,2015-07-27,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2015,2015-08-13,0,0,0,0,200,33.18,2015-07-27,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2015,2015-08-13,0,0,0,0,200,33.18,2015-07-27,1,0.005,0.0183,0.0017,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11011,Pisaster ochraceus,Ochre Sea Star,2015,2015-08-13,0,0,0,0,200,33.18,2015-07-27,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2016,2016-09-29,0,0,0,0,200,33.18,2016-09-03,9,0.045,0.0589,0.0054,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2016,2016-09-29,0,0,0,0,200,33.18,2016-09-03,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2016,2016-09-29,0,0,0,0,200,33.18,2016-09-03,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2016,2016-09-29,0,0,0,0,200,33.18,2016-09-03,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2016,2016-09-29,0.01,0.007,0.0441,2,200,33.18,2016-09-03,4,0.02,0.0361,0.0033,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11011,Pisaster ochraceus,Ochre Sea Star,2016,2016-09-29,0,0,0,0,200,33.18,2016-09-03,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2017,2017-08-23,0,0,0,0,200,33.18,2017-08-29,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2017,2017-08-23,0.04,0.04,0.253,8,200,33.18,2017-08-29,8,0.04,0.1461,0.0133,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2017,2017-08-23,0,0,0,0,200,33.18,2017-08-29,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2017,2017-08-23,0,0,0,0,200,33.18,2017-08-29,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2017,2017-08-23,0.025,0.0106,0.067,5,200,33.18,2017-08-29,7,0.035,0.0471,0.0043,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11011,Pisaster ochraceus,Ochre Sea Star,2017,2017-08-23,0,0,0,0,200,33.18,2017-08-29,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2018,2018-08-02,0,0,0,0,200,33.18,2018-07-25,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2018,2018-08-02,0,0,0,0,200,33.18,2018-07-25,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2018,2018-08-02,0,0,0,0,200,33.18,2018-07-25,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2018,2018-08-02,0,0,0,0,200,33.18,2018-07-25,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2018,2018-08-02,0,0,0,0,200,33.18,2018-07-25,1,0.005,0.0183,0.0017,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11011,Pisaster ochraceus,Ochre Sea Star,2018,2018-08-02,0,0,0,0,200,33.18,2018-07-25,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2019,2019-08-20,0.035,0.0188,0.1189,7,200,33.18,2019-08-28,11,0.055,0.0898,0.0082,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2019,2019-08-20,0.205,0.0809,0.5114,41,200,33.18,2019-08-28,48,0.24,0.3116,0.0284,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016,Sargassum horneri,Devil Weed (Adult),2019,2019-08-20,0,0,0,0,200,33.18,2019-08-28,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,2016.5,Sargassum horneri,Devil Weed (Juvenile),2019,2019-08-20,0,0,0,0,200,33.18,2019-08-28,0,0,0,0,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11002,Pisaster giganteus,Giant-spined Sea Star,2019,2019-08-20,0.005,0.005,0.0316,1,200,33.18,2019-08-28,1,0.005,0.0183,0.0017,600
Outside,3,SR,Santa Rosa Island,JLNO,Johnson's Lee North,11011,Pisaster ochraceus,Ochre Sea Star,2019,2019-08-20,0,0,0,0,200,33.18,2019-08-28,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2005,2005-07-11,0.185,0.0375,0.237,37,200,46.72,2005-07-25,163,0.815,0.372,0.034,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2005,2005-07-11,0.13,0.0402,0.2544,26,200,46.72,2005-07-25,82,0.41,0.2487,0.0227,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2005,2005-07-11,0.12,0.0391,0.2472,24,200,46.72,2005-07-25,78,0.39,0.2285,0.0209,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2006,2006-08-07,0.14,0.0288,0.1823,28,200,46.72,2006-08-02,158,0.79,0.309,0.0282,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2006,2006-08-07,0.505,0.1023,0.6469,101,200,46.72,2006-08-02,330,1.65,0.7887,0.072,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2006,2006-08-07,0.02,0.012,0.0758,4,200,46.72,2006-08-02,51,0.255,0.1713,0.0156,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2007,2007-07-23,0.465,0.0601,0.38,93,200,46.72,2007-08-22,285,1.425,0.4157,0.0379,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2007,2007-07-23,0.075,0.0265,0.1676,15,200,46.72,2007-08-22,89,0.445,0.2663,0.0243,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2007,2007-07-23,0.015,0.0084,0.0533,3,200,46.72,2007-08-22,50,0.25,0.188,0.0172,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2008,2008-08-11,0.29,0.0453,0.2863,58,200,46.72,2008-08-22,156,0.78,0.3019,0.0276,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2008,2008-08-11,0.12,0.0452,0.2857,24,200,46.72,2008-08-22,243,1.215,0.5071,0.0463,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2008,2008-08-11,0.075,0.0211,0.1335,15,200,46.72,2008-08-22,111,0.555,0.2462,0.0225,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2009,2009-09-21,0.125,0.0245,0.1548,25,200,46.72,2009-07-31,147,0.735,0.2858,0.0261,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2009,2009-09-21,0.395,0.0575,0.3637,79,200,46.72,2009-07-31,198,0.99,0.4481,0.0409,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2009,2009-09-21,0.05,0.0224,0.1414,10,200,46.72,2009-07-31,66,0.33,0.2258,0.0206,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2010,2010-09-13,0.255,0.0453,0.2864,51,200,46.72,2010-08-09,173,0.865,0.3288,0.03,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2010,2010-09-13,0.03,0.0135,0.0853,6,200,46.72,2010-08-09,11,0.055,0.0635,0.0058,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016,Sargassum horneri,Devil Weed (Adult),2010,2010-09-13,0,0,0,0,200,46.72,2010-08-09,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016.5,Sargassum horneri,Devil Weed (Juvenile),2010,2010-09-13,0,0,0,0,200,46.72,2010-08-09,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2010,2010-09-13,0.105,0.0336,0.2124,21,200,46.72,2010-08-09,74,0.37,0.2109,0.0193,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2011,2011-08-17,0.09,0.0226,0.1429,18,200,46.72,2011-08-10,108,0.54,0.2452,0.0224,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2011,2011-08-17,0.095,0.0202,0.128,19,200,46.72,2011-08-10,112,0.56,0.3543,0.0323,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016,Sargassum horneri,Devil Weed (Adult),2011,2011-08-17,0,0,0,0,200,46.72,2011-08-10,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016.5,Sargassum horneri,Devil Weed (Juvenile),2011,2011-08-17,0,0,0,0,200,46.72,2011-08-10,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2011,2011-08-17,0.14,0.0367,0.2318,28,200,46.72,2011-08-10,83,0.415,0.2359,0.0215,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2012,2012-07-10,0.135,0.0299,0.1889,27,200,46.72,2012-07-17,130,0.65,0.3074,0.0281,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2012,2012-07-10,0.26,0.0443,0.2799,52,200,46.72,2012-07-17,150,0.75,0.3251,0.0297,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016,Sargassum horneri,Devil Weed (Adult),2012,2012-07-10,0,0,0,0,200,46.72,2012-07-17,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016.5,Sargassum horneri,Devil Weed (Juvenile),2012,2012-07-10,0,0,0,0,200,46.72,2012-07-17,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2012,2012-07-10,0.09,0.0237,0.1499,18,200,46.72,2012-07-17,74,0.37,0.2307,0.0211,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11011,Pisaster ochraceus,Ochre Sea Star,2012,2012-07-10,0,0,0,0,200,46.72,2012-07-17,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2013,2013-07-18,0.265,0.0354,0.2237,53,200,46.72,2013-08-04,159,0.795,0.2958,0.027,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2013,2013-07-18,0,0,0,0,200,46.72,2013-08-04,19,0.095,0.1069,0.0098,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016,Sargassum horneri,Devil Weed (Adult),2013,2013-07-18,0,0,0,0,200,46.72,2013-08-04,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016.5,Sargassum horneri,Devil Weed (Juvenile),2013,2013-07-18,0,0,0,0,200,46.72,2013-08-04,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2013,2013-07-18,0.315,0.0679,0.4294,63,200,46.72,2013-08-04,102,0.51,0.314,0.0287,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11011,Pisaster ochraceus,Ochre Sea Star,2013,2013-07-18,0,0,0,0,200,46.72,2013-08-04,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2014,2014-07-17,0.15,0.0302,0.1908,30,200,46.72,2014-07-20,112,0.56,0.247,0.0225,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2014,2014-07-17,0.01,0.007,0.0441,2,200,46.72,2014-07-20,120,0.6,0.3766,0.0344,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016,Sargassum horneri,Devil Weed (Adult),2014,2014-07-17,0,0,0,0,200,46.72,2014-07-20,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016.5,Sargassum horneri,Devil Weed (Juvenile),2014,2014-07-17,0,0,0,0,200,46.72,2014-07-20,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2014,2014-07-17,0.01,0.007,0.0441,2,200,46.72,2014-07-20,3,0.015,0.0314,0.0029,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11011,Pisaster ochraceus,Ochre Sea Star,2014,2014-07-17,0,0,0,0,200,46.72,2014-07-20,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.25,Macrocystis pyrifera,Giant Kelp (Adult),2015,2015-06-10,0.155,0.0291,0.1839,31,200,46.72,2015-07-27,77,0.385,0.2087,0.0191,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2002.75,Macrocystis pyrifera,Giant Kelp (Sub-adult),2015,2015-06-10,0.125,0.0293,0.185,25,200,46.72,2015-07-27,73,0.365,0.2309,0.0211,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016,Sargassum horneri,Devil Weed (Adult),2015,2015-06-10,0,0,0,0,200,46.72,2015-07-27,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,2016.5,Sargassum horneri,Devil Weed (Juvenile),2015,2015-06-10,0,0,0,0,200,46.72,2015-07-27,0,0,0,0,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11002,Pisaster giganteus,Giant-spined Sea Star,2015,2015-06-10,0.005,0.005,0.0316,1,200,46.72,2015-07-27,1,0.005,0.0183,0.0017,600
Outside,4,SR,Santa Rosa Island,JLSO,Johnson's Lee South,11011,Pisaster ochraceus,Ochre Sea Star,2015,2015-06-10,0,0,0,0,200,46.72,2015-07-27,0,0,0,0,600
